Thu Apr 14 12:20:31 2022    ./mrJobs/profiling/profile.dat

         17107452 function calls (17106749 primitive calls) in 9.659 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1573    0.004    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:1410(_add_action)
     1573    0.001    0.000    0.003    0.000 /usr/lib/python3.8/argparse.py:1526(_pop_action_class)
     1573    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1539(_check_conflict)
     1573    0.002    0.000    0.010    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
     1573    0.001    0.000    0.011    0.000 /usr/lib/python3.8/argparse.py:1759(_add_action)
     1573    0.002    0.000    0.041    0.000 /usr/lib/python3.8/argparse.py:2492(_get_formatter)
     1573    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:591(format)
     1573    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:582(_metavar_formatter)
     1573    0.004    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:598(_format_args)
     1573    0.009    0.000    0.039    0.000 /usr/lib/python3.8/argparse.py:169(__init__)
     1573    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:214(__init__)
     1573    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:753(value)
     1573    0.001    0.000    0.002    0.000 /usr/lib/python3.8/types.py:171(__get__)
     1562    0.005    0.000    0.006    0.000 /usr/lib/python3.8/argparse.py:1490(_get_optional_kwargs)
     1448    0.001    0.000    0.002    0.000 /usr/lib/python3.8/os.py:693(__iter__)
     1398    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1195    0.001    0.000    0.002    0.000 {built-in method builtins.any}
     1166    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1116    0.001    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1525(suppressed)
      999    0.014    0.000    0.092    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1509(_add_runner_args_for_opt)
      912    0.001    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1500(_to_str)
      799    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:206(_strip_clear_tag)
      712    0.001    0.000    0.001    0.000 {built-in method posix.putenv}
      712    0.001    0.000    0.003    0.000 /usr/lib/python3.8/os.py:678(__setitem__)
      684    0.016    0.000    0.016    0.000 /usr/lib/python3.8/argparse.py:863(__init__)
      666    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      617    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:616(<listcomp>)
      612    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:71(_im_func)
      584    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
   537/73    0.000    0.000    0.012    0.000 {built-in method builtins.next}
      495    0.002    0.000    0.002    0.000 /usr/lib/python3.8/posixpath.py:71(join)
      484    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      474    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
