Thu Apr 14 12:20:31 2022    ./mrJobs/profiling/profile.dat

         17107452 function calls (17106749 primitive calls) in 9.659 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11961    0.005    0.000    0.005    0.000 {method 'decode' of 'bytes' objects}
     1562    0.005    0.000    0.006    0.000 /usr/lib/python3.8/argparse.py:1490(_get_optional_kwargs)
     1573    0.004    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:598(_format_args)
       35    0.004    0.000    0.004    0.000 {built-in method posix.unlink}
     3219    0.004    0.000    0.008    0.000 /usr/lib/python3.8/re.py:289(_compile)
     6089    0.004    0.000    0.006    0.000 /usr/lib/python3.8/os.py:748(encode)
     1573    0.004    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:1410(_add_action)
     1573    0.003    0.000    0.003    0.000 {built-in method posix.get_terminal_size}
     1573    0.002    0.000    0.010    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
      285    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     1573    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:821(__init__)
     1573    0.002    0.000    0.041    0.000 /usr/lib/python3.8/argparse.py:2492(_get_formatter)
     6708    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       28    0.002    0.000    0.002    0.000 {built-in method builtins.sum}
     3180    0.002    0.000    0.009    0.000 /usr/lib/python3.8/re.py:250(compile)
       20    0.002    0.000    0.006    0.000 /usr/lib/python3.8/argparse.py:1786(parse_known_args)
     7105    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       50    0.002    0.000    0.002    0.000 {built-in method io.open}
      495    0.002    0.000    0.002    0.000 /usr/lib/python3.8/posixpath.py:71(join)
     3160    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1324(_registry_get)
     1573    0.001    0.000    0.003    0.000 /usr/lib/python3.8/argparse.py:1526(_pop_action_class)
     5377    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1448    0.001    0.000    0.002    0.000 /usr/lib/python3.8/os.py:693(__iter__)
     1573    0.001    0.000    0.002    0.000 /usr/lib/python3.8/types.py:171(__get__)
       23    0.001    0.000    0.001    0.000 {built-in method posix.mkdir}
     1573    0.001    0.000    0.011    0.000 /usr/lib/python3.8/argparse.py:1759(_add_action)
        9    0.001    0.000    0.093    0.010 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1492(_add_runner_args)
     1573    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1539(_check_conflict)
     1116    0.001    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1525(suppressed)
        8    0.001    0.000    0.001    0.000 /usr/lib/python3.8/_collections_abc.py:672(keys)
     1573    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:582(_metavar_formatter)
     1195    0.001    0.000    0.002    0.000 {built-in method builtins.any}
     5340    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
        6    0.001    0.000    2.976    0.496 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:869(_combine_or_reduce_pairs)
     1573    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:214(__init__)
      712    0.001    0.000    0.001    0.000 {built-in method posix.putenv}
     1573    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:591(format)
      464    0.001    0.000    0.005    0.000 /usr/lib/python3.8/_collections_abc.py:804(popitem)
       20    0.001    0.000    0.004    0.000 /usr/lib/python3.8/argparse.py:1821(_parse_known_args)
     1573    0.001    0.000    0.001    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        8    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
      712    0.001    0.000    0.003    0.000 /usr/lib/python3.8/os.py:678(__setitem__)
        9    0.001    0.000    0.007    0.001 /usr/lib/python3.8/argparse.py:2293(parse_known_intermixed_args)
     1961    0.001    0.000    0.001    0.000 /usr/lib/python3.8/os.py:752(decode)
     1612    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     23/1    0.001    0.000    0.006    0.006 /usr/lib/python3.8/shutil.py:625(_rmtree_safe_fd)
     1656    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     2250    0.001    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1526(<genexpr>)
      912    0.001    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1500(_to_str)
        2    0.001    0.000    0.017    0.008 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1706(_parse_raw_args)
     3160    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
        9    0.000    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:484(_combine_envs_helper)
     1573    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:753(value)
       22    0.000    0.000    0.003    0.000 /usr/lib/python3.8/gettext.py:538(find)
     1398    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       18    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/step.py:208(__init__)
      169    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      456    0.000    0.000    0.001    0.000 /usr/lib/python3.8/os.py:684(__delitem__)
      333    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:898(__init__)
       24    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       33    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1267(__init__)
        8    0.000    0.000    8.375    1.047 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:733(_run_task)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:1772(<listcomp>)
      456    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
       16    0.000    0.000    0.004    0.000 /usr/lib/python3.8/_collections_abc.py:824(update)
       32    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:435(combine_dicts)
     1632    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      100    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/compat.py:670(translate_jobconf_for_all_versions)
   537/73    0.000    0.000    0.012    0.000 {built-in method builtins.next}
       24    0.000    0.000    0.000    0.000 {built-in method posix.close}
     1166    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       44    0.000    0.000    0.001    0.000 /usr/lib/python3.8/gettext.py:212(_expand_lang)
      584    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
        8    0.000    0.000    8.374    1.047 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/inline.py:107(invoke_task)
     14/9    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      189    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:921(__init__)
       18    0.000    0.000    0.009    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:497(steps)
        8    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:352(_simulate_jobconf_for_step)
      464    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1506(<genexpr>)
      799    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:206(_strip_clear_tag)
      617    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:616(<listcomp>)
      407    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:1320(register)
        8    0.000    0.000    0.000    0.000 {built-in method posix.symlink}
       34    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/setup.py:470(name_to_path)
        9    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1631(_add_step_args)
       23    0.000    0.000    0.000    0.000 {built-in method posix.rmdir}
       71    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:587(_step_dir)
        8    0.000    0.000    0.005    0.001 /usr/lib/python3.8/_collections_abc.py:816(clear)
       16    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/process.py:10(<module>)
      612    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:71(_im_func)
        8    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1497(_fix_env)
        8    0.000    0.000    0.002    0.000 /usr/lib/python3.8/os.py:707(copy)
        9    0.000    0.000    0.133    0.015 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:89(__init__)
       24    0.000    0.000    0.000    0.000 {built-in method posix.open}
       26    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
      211    0.000    0.000    0.001    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
       16    0.000    0.000    0.000    0.000 {built-in method posix.chdir}
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:2370(_get_values)
       39    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1868(take_action)
       11    0.000    0.000    0.006    0.001 /usr/lib/python3.8/argparse.py:1650(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      126    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:938(__init__)
       22    0.000    0.000    0.004    0.000 /usr/lib/python3.8/gettext.py:594(translation)
        8    0.000    0.000    0.009    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:197(_run_task_func)
      264    0.000    0.000    0.001    0.000 /usr/lib/python3.8/_collections_abc.py:742(__iter__)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:334(normpath)
       20    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1966(consume_positionals)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:1767(<listcomp>)
     25/8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
      218    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:231(<genexpr>)
      484    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       16    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/util.py:197(save_sys_std)
        8    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:550(_setup_working_dir)
       22    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1579(__init__)
       19    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/local.py:62(mkdir)
       44    0.000    0.000    0.000    0.000 /usr/lib/python3.8/locale.py:384(normalize)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:100(split)
        9    0.000    0.000    0.104    0.012 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:1080(configure_args)
       16    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:341(to_env)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       20    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:2118(_match_arguments_partial)
        8    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:401(<dictcomp>)
        8    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/parse.py:115(parse_mr_job_stderr)
    77/37    0.000    0.000    0.000    0.000 /usr/lib/python3.8/pprint.py:502(_safe_repr)
    29/12    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
        4    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1470(_deprecated_aliases)
        9    0.000    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1585(_add_job_args)
       32    0.000    0.000    0.007    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.8/glob.py:116(_iterdir)
      666    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
    23/20    0.000    0.000    0.002    0.000 /usr/lib/python3.8/os.py:198(makedirs)
      291    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       19    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1889(consume_optional)
      216    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:342(<genexpr>)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:150(dirname)
       24    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/composite.py:96(_handle)
        2    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        8    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:793(_symlink_or_copy)
        3    0.000    0.000    0.002    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:228(_parse_task_counters)
       92    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
      474    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     13/8    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
       92    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        8    0.000    0.000    0.001    0.000 /usr/lib/python3.8/posixpath.py:449(relpath)
       18    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       19    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:2096(_match_argument)
       22    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1400(add_argument_group)
       16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       22    0.000    0.000    0.000    0.000 {method 'stat' of 'posix.DirEntry' objects}
        2    0.000    0.000    0.018    0.009 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:720(_runner_kwargs)
       30    0.000    0.000    0.001    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:914(get_code)
       10    0.000    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:539(_yield_split_fileobjs)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      264    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:719(__iter__)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1689(isEnabledFor)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       25    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/local.py:33(can_handle_path)
       54    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:955(__init__)
       20    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       56    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:612(_task_dir)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
      121    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
        2    0.000    0.000    8.385    4.192 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:123(_run_multiple)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:2237(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        9    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1563(_add_basic_args)
       52    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:777(_get_steps)
        8    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1313(_jobconf_for_step)
        8    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:983(_script_step_mapping)
       10    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:774(_split_records)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:1530(_get_handler)
      9/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
