Thu Apr 21 10:42:32 2022    ./mrJobs/profiling/profile.Fill_Null_Vals.dat

         2818831 function calls (2818277 primitive calls) in 3.673 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1500    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1526(<genexpr>)
     1397    0.000    0.000    0.001    0.000 /usr/lib/python3.8/os.py:752(decode)
     1233    0.108    0.000    0.108    0.000 {built-in method builtins.min}
     1216    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1183    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1144    0.001    0.000    0.001    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
     1144    0.007    0.000    0.007    0.000 {built-in method posix.get_terminal_size}
     1144    0.006    0.000    0.027    0.000 /usr/lib/python3.8/shutil.py:1312(get_terminal_size)
     1144    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:821(__init__)
     1144    0.021    0.000    0.224    0.000 /usr/lib/python3.8/argparse.py:1349(add_argument)
     1144    0.019    0.000    0.111    0.000 /usr/lib/python3.8/argparse.py:1410(_add_action)
     1144    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1526(_pop_action_class)
     1144    0.007    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:1539(_check_conflict)
     1144    0.002    0.000    0.113    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
     1144    0.001    0.000    0.114    0.000 /usr/lib/python3.8/argparse.py:1759(_add_action)
     1144    0.001    0.000    0.052    0.000 /usr/lib/python3.8/argparse.py:2492(_get_formatter)
     1144    0.016    0.000    0.051    0.000 /usr/lib/python3.8/argparse.py:169(__init__)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:214(__init__)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:591(format)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:582(_metavar_formatter)
     1144    0.003    0.000    0.005    0.000 /usr/lib/python3.8/argparse.py:598(_format_args)
     1144    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:753(value)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/types.py:171(__get__)
     1136    0.014    0.000    0.024    0.000 /usr/lib/python3.8/argparse.py:1490(_get_optional_kwargs)
     1023    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1023    0.001    0.000    0.001    0.000 /usr/lib/python3.8/os.py:693(__iter__)
      953    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      805    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      744    0.001    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1525(suppressed)
