Thu Apr 21 10:31:25 2022    ./mrJobs/profiling/profile.Find_Mean_Mode.dat

         15446950 function calls (15446200 primitive calls) in 11.245 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.009    0.009    0.137    0.137 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:415(_split_mapper_input)
      999    0.008    0.000    0.081    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1509(_add_runner_args_for_opt)
     1562    0.008    0.000    0.022    0.000 /usr/lib/python3.8/shutil.py:1312(get_terminal_size)
     4307    0.007    0.000    0.012    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
        1    0.007    0.007    0.431    0.431 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:660(_sort_reducer_input)
    12201    0.006    0.000    0.006    0.000 {method 'decode' of 'bytes' objects}
     1551    0.005    0.000    0.006    0.000 /usr/lib/python3.8/argparse.py:1490(_get_optional_kwargs)
     1562    0.004    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:598(_format_args)
     1562    0.004    0.000    0.008    0.000 /usr/lib/python3.8/argparse.py:1410(_add_action)
     6387    0.004    0.000    0.007    0.000 /usr/lib/python3.8/os.py:748(encode)
       35    0.004    0.000    0.004    0.000 {built-in method posix.unlink}
     1562    0.003    0.000    0.003    0.000 {built-in method posix.get_terminal_size}
     1116    0.003    0.000    0.005    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1525(suppressed)
     1562    0.003    0.000    0.011    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
     1562    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:821(__init__)
     1562    0.002    0.000    0.045    0.000 /usr/lib/python3.8/argparse.py:2492(_get_formatter)
       50    0.002    0.000    0.002    0.000 {built-in method io.open}
      495    0.002    0.000    0.003    0.000 /usr/lib/python3.8/posixpath.py:71(join)
     3138    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1324(_registry_get)
     6674    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       23    0.002    0.000    0.002    0.000 {built-in method posix.mkdir}
     3158    0.002    0.000    0.010    0.000 /usr/lib/python3.8/re.py:250(compile)
     1562    0.002    0.000    0.003    0.000 /usr/lib/python3.8/argparse.py:1526(_pop_action_class)
     1195    0.002    0.000    0.002    0.000 {built-in method builtins.any}
      675    0.002    0.000    0.003    0.000 /usr/lib/python3.8/argparse.py:863(__init__)
     1562    0.001    0.000    0.013    0.000 /usr/lib/python3.8/argparse.py:1759(_add_action)
     1562    0.001    0.000    0.002    0.000 /usr/lib/python3.8/types.py:171(__get__)
     7101    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       20    0.001    0.000    0.006    0.000 /usr/lib/python3.8/argparse.py:1786(parse_known_args)
     1562    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1539(_check_conflict)
        9    0.001    0.000    0.083    0.009 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1492(_add_runner_args)
      792    0.001    0.000    0.001    0.000 {built-in method posix.putenv}
     1562    0.001    0.000    0.001    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
     5318    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     5368    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1562    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:214(__init__)
     1562    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:582(_metavar_formatter)
     1608    0.001    0.000    0.002    0.000 /usr/lib/python3.8/os.py:693(__iter__)
      504    0.001    0.000    0.005    0.000 /usr/lib/python3.8/_collections_abc.py:804(popitem)
       20    0.001    0.000    0.004    0.000 /usr/lib/python3.8/argparse.py:1821(_parse_known_args)
     1562    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:591(format)
      792    0.001    0.000    0.004    0.000 /usr/lib/python3.8/os.py:678(__setitem__)
       22    0.001    0.000    0.001    0.000 {built-in method builtins.round}
     1652    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     1605    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        9    0.001    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:484(_combine_envs_helper)
     23/1    0.001    0.000    0.006    0.006 /usr/lib/python3.8/shutil.py:625(_rmtree_safe_fd)
     2201    0.001    0.000    0.001    0.000 /usr/lib/python3.8/os.py:752(decode)
        8    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        2    0.001    0.000    0.019    0.010 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1706(_parse_raw_args)
        9    0.001    0.000    0.006    0.001 /usr/lib/python3.8/argparse.py:2293(parse_known_intermixed_args)
      333    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:898(__init__)
     2250    0.001    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1526(<genexpr>)
       22    0.001    0.000    0.020    0.001 /usr/lib/python3.8/gettext.py:538(find)
