Thu Apr 21 10:26:50 2022    ./mrJobs/profiling/profile.Remove_Null_Vals.dat

         2878596 function calls (2878042 primitive calls) in 1.798 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     1144    0.003    0.000    0.005    0.000 /usr/lib/python3.8/argparse.py:598(_format_args)
    20000    0.003    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:784(<lambda>)
     1144    0.003    0.000    0.006    0.000 /usr/lib/python3.8/argparse.py:1410(_add_action)
     2348    0.003    0.000    0.006    0.000 /usr/lib/python3.8/re.py:289(_compile)
     4375    0.003    0.000    0.004    0.000 /usr/lib/python3.8/os.py:748(encode)
     1144    0.003    0.000    0.003    0.000 {built-in method posix.get_terminal_size}
       29    0.002    0.000    0.002    0.000 {built-in method posix.unlink}
        1    0.002    0.002    0.010    0.010 {method 'sort' of 'list' objects}
    10000    0.002    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:887(<lambda>)
    10010    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
        1    0.002    0.002    0.026    0.026 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:750(_sort_lines_in_memory)
     1144    0.002    0.000    0.008    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
     1144    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:821(__init__)
     1144    0.001    0.000    0.034    0.000 /usr/lib/python3.8/argparse.py:2492(_get_formatter)
     2307    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1324(_registry_get)
     4751    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      228    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     1144    0.001    0.000    0.003    0.000 /usr/lib/python3.8/argparse.py:1526(_pop_action_class)
     5347    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      393    0.001    0.000    0.002    0.000 /usr/lib/python3.8/posixpath.py:71(join)
       17    0.001    0.000    0.001    0.000 {built-in method posix.mkdir}
     2313    0.001    0.000    0.007    0.000 /usr/lib/python3.8/re.py:250(compile)
        8    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       14    0.001    0.000    0.005    0.000 /usr/lib/python3.8/argparse.py:1786(parse_known_args)
       38    0.001    0.000    0.001    0.000 {built-in method io.open}
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1539(_check_conflict)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/types.py:171(__get__)
     3875    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      744    0.001    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1525(suppressed)
     1144    0.001    0.000    0.009    0.000 /usr/lib/python3.8/argparse.py:1759(_add_action)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:582(_metavar_formatter)
        6    0.001    0.000    0.054    0.009 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1492(_add_runner_args)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:214(__init__)
      456    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:863(__init__)
     3753    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:591(format)
       14    0.001    0.000    0.003    0.000 /usr/lib/python3.8/argparse.py:1821(_parse_known_args)
     1144    0.001    0.000    0.001    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
      805    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      504    0.001    0.000    0.001    0.000 {built-in method posix.putenv}
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.TextIOWrapper' objects}
      324    0.001    0.000    0.003    0.000 /usr/lib/python3.8/_collections_abc.py:804(popitem)
     1023    0.001    0.000    0.001    0.000 /usr/lib/python3.8/os.py:693(__iter__)
      504    0.001    0.000    0.002    0.000 /usr/lib/python3.8/os.py:678(__setitem__)
        2    0.001    0.000    0.018    0.009 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1706(_parse_raw_args)
     1183    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1233    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     17/1    0.001    0.000    0.004    0.004 /usr/lib/python3.8/shutil.py:625(_rmtree_safe_fd)
     1397    0.001    0.000    0.001    0.000 /usr/lib/python3.8/os.py:752(decode)
        1    0.000    0.000    0.027    0.027 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:660(_sort_reducer_input)
        6    0.000    0.000    0.005    0.001 /usr/lib/python3.8/argparse.py:2293(parse_known_intermixed_args)
     2307    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       24    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
