Thu Apr 21 10:31:25 2022    ./mrJobs/profiling/profile.Find_Mean_Mode.dat

         15446950 function calls (15446200 primitive calls) in 11.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   217666    0.063    0.000    0.142    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:767(<lambda>)
        1    0.009    0.009    0.137    0.137 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:415(_split_mapper_input)
   217666    0.076    0.000    0.130    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:525(reducer_key)
   260000    0.085    0.000    0.113    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mr3px/common.py:18(decode_string)
   441771    0.101    0.000    0.101    0.000 {method 'encode' of 'str' objects}
        9    0.000    0.000    0.096    0.011 /home/ubuntu/DAT500-FinalProject/mrJobs/find_mean_mode.py:19(configure_args)
        9    0.000    0.000    0.096    0.011 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:1080(configure_args)
     1562    0.013    0.000    0.095    0.000 /usr/lib/python3.8/argparse.py:1349(add_argument)
676824/676796    0.084    0.000    0.084    0.000 {built-in method builtins.len}
   227674    0.083    0.000    0.083    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:932(_read_input)
        9    0.001    0.000    0.083    0.009 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1492(_add_runner_args)
      999    0.008    0.000    0.081    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1509(_add_runner_args_for_opt)
   435354    0.076    0.000    0.076    0.000 {method 'clear' of 'dict' objects}
   436499    0.075    0.000    0.075    0.000 {built-in method builtins.getattr}
   436176    0.073    0.000    0.073    0.000 {method 'join' of 'str' objects}
   435384    0.064    0.000    0.064    0.000 {method 'end' of 're.Match' objects}
   217666    0.053    0.000    0.053    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:887(<lambda>)
    10000    0.049    0.000    0.049    0.000 {built-in method _csv.reader}
   227666    0.048    0.000    0.048    0.000 {method 'rstrip' of 'bytes' objects}
       73    0.047    0.001    0.047    0.001 {method 'extend' of 'list' objects}
     1562    0.002    0.000    0.045    0.000 /usr/lib/python3.8/argparse.py:2492(_get_formatter)
     1562    0.010    0.000    0.043    0.000 /usr/lib/python3.8/argparse.py:169(__init__)
   227666    0.036    0.000    0.036    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:784(<lambda>)
       22    0.000    0.000    0.034    0.002 <__array_function__ internals>:177(mean)
       22    0.000    0.000    0.033    0.002 {built-in method numpy.core._multiarray_umath.implement_array_function}
       22    0.000    0.000    0.033    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3356(mean)
   217702    0.033    0.000    0.033    0.000 {built-in method builtins.ord}
       22    0.000    0.000    0.033    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/numpy/core/_methods.py:162(_mean)
   260000    0.032    0.000    0.032    0.000 {method 'strip' of 'str' objects}
   128825    0.029    0.000    0.029    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.029    0.029 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:689(make_runner)
       11    0.000    0.000    0.023    0.002 /usr/lib/python3.8/argparse.py:1650(__init__)
     1562    0.008    0.000    0.022    0.000 /usr/lib/python3.8/shutil.py:1312(get_terminal_size)
       22    0.000    0.000    0.021    0.001 /usr/lib/python3.8/gettext.py:750(gettext)
       22    0.000    0.000    0.021    0.001 /usr/lib/python3.8/gettext.py:675(dgettext)
        2    0.000    0.000    0.021    0.010 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:720(_runner_kwargs)
       22    0.000    0.000    0.021    0.001 /usr/lib/python3.8/gettext.py:594(translation)
        9    0.021    0.002    0.021    0.002 {built-in method time.tzset}
       22    0.001    0.000    0.020    0.001 /usr/lib/python3.8/gettext.py:538(find)
        2    0.000    0.000    0.020    0.010 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:188(_non_option_kwargs)
        2    0.001    0.000    0.019    0.010 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1706(_parse_raw_args)
      285    0.019    0.000    0.019    0.000 {built-in method posix.stat}
    49696    0.018    0.000    0.018    0.000 {method 'replace' of 'str' objects}
       22    0.018    0.001    0.018    0.001 {method 'reduce' of 'numpy.ufunc' objects}
      211    0.000    0.000    0.018    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
    49415    0.015    0.000    0.015    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.014    0.014 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:296(_create_dist_cache_dir)
       22    0.014    0.001    0.014    0.001 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.014    0.014 /usr/lib/python3.8/shutil.py:404(copy)
        1    0.000    0.000    0.014    0.014 /usr/lib/python3.8/shutil.py:234(copyfile)
        1    0.000    0.000    0.013    0.013 /usr/lib/python3.8/shutil.py:114(_fastcopy_sendfile)
        2    0.013    0.007    0.013    0.007 {built-in method posix.sendfile}
     1562    0.001    0.000    0.013    0.000 /usr/lib/python3.8/argparse.py:1759(_add_action)
     4307    0.007    0.000    0.012    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
       10    0.000    0.000    0.012    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:774(_split_records)
   577/73    0.000    0.000    0.012    0.000 {built-in method builtins.next}
